date,open,high,low,close,volume,suspicious_flag
2022-10-11,3595.86,3640.66,3568.45,3588.84,726546333.0,
2022-10-12,3590.83,3608.34,3573.86,3577.03,645865085.0,
2022-10-13,3520.37,3685.41,3491.58,3669.91,840635099.0,
2022-10-14,3690.41,3712.0,3579.68,3583.07,736480578.0,
2022-10-17,3638.65,3689.73,3638.65,3677.95,718643423.0,
2022-10-18,3746.26,3762.79,3686.53,3719.98,678666508.0,
2022-10-19,3703.11,3728.58,3666.51,3695.16,622566954.0,
2022-10-20,3689.05,3736.0,3656.44,3665.78,676528338.0,
2022-10-21,3657.1,3757.89,3647.42,3752.75,902210712.0,
2022-10-24,3762.01,3810.74,3741.65,3797.34,677220105.0,
2022-10-25,3799.44,3862.85,3799.44,3859.11,705721791.0,
2022-10-26,3825.97,3886.15,3824.07,3830.6,760715393.0,
2022-10-27,3834.69,3859.95,3803.79,3807.3,831854609.0,
2022-10-28,3808.26,3905.42,3808.26,3901.06,743160632.0,
2022-10-31,3881.85,3893.73,3863.18,3871.98,846805519.0,
2022-11-01,3901.79,3911.79,3843.8,3856.1,656134881.0,
2022-11-02,3852.9,3894.44,3758.68,3759.69,818922185.0,
2022-11-03,3733.25,3750.59,3698.15,3719.89,716136387.0,
2022-11-04,3766.98,3796.34,3708.84,3770.55,761563917.0,
2022-11-07,3780.71,3813.95,3764.7,3806.8,650238172.0,
2022-11-08,3817.02,3859.4,3786.28,3828.11,646743771.0,
2022-11-09,3810.94,3818.2,3744.22,3748.57,667333976.0,
2022-11-10,3859.89,3958.33,3859.89,3956.37,927953225.0,
2022-11-11,3963.72,4001.48,3944.82,3992.93,760721714.0,
2022-11-14,3977.97,4008.97,3956.4,3957.25,673077472.0,
2022-11-15,4006.41,4028.84,3953.17,3991.73,714032354.0,
2022-11-16,3976.82,3983.09,3954.34,3958.79,627011652.0,
2022-11-17,3919.26,3954.33,3906.54,3946.56,560693716.0,
2022-11-18,3966.39,3979.89,3935.98,3965.34,658595061.0,
2022-11-21,3956.23,3962.0,3933.34,3949.94,554670309.0,
2022-11-22,3965.51,4005.88,3956.88,4003.58,541739025.0,
2022-11-23,4000.3,4033.78,3998.66,4027.26,435535386.0,
2022-11-25,4023.34,4034.02,4020.76,4026.12,234910107.0,
2022-11-28,4005.36,4012.27,3955.77,3963.94,602117953.0,
2022-11-29,3964.19,3976.77,3937.65,3957.63,517449991.0,
2022-11-30,3957.18,4080.11,3938.58,4080.11,1406250061.0,
2022-12-01,4087.14,4100.51,4050.87,4076.57,634096215.0,
2022-12-02,4040.17,4080.48,4026.63,4071.7,549183011.0,
2022-12-05,4052.02,4052.45,3984.49,3998.84,589437350.0,
2022-12-06,3996.63,4001.51,3918.39,3941.26,645745573.0,
2022-12-07,3933.28,3957.57,3922.68,3933.92,630212851.0,
2022-12-08,3947.79,3974.19,3935.83,3963.51,582572156.0,
2022-12-09,3954.17,3977.02,3933.04,3934.38,581894582.0,
2022-12-12,3939.29,3990.71,3935.3,3990.56,618637066.0,
2022-12-13,4069.38,4100.96,3993.03,4019.65,899986278.0,
2022-12-14,4015.54,4053.76,3965.65,3995.32,750666785.0,
2022-12-15,3958.37,3958.37,3879.45,3895.75,794832028.0,
2022-12-16,3890.91,3890.91,3827.91,3852.36,2480939005.0,
2022-12-19,3853.79,3854.86,3800.04,3817.66,666048676.0,
2022-12-20,3810.47,3838.24,3795.62,3821.62,605329585.0,
2022-12-21,3839.49,3889.82,3839.49,3878.44,578914467.0,
2022-12-22,3853.26,3853.26,3764.49,3822.39,619178091.0,
2022-12-23,3815.11,3845.8,3797.01,3844.82,407580902.0,
2022-12-27,3843.34,3846.65,3813.22,3829.25,449987371.0,
2022-12-28,3829.56,3848.32,3780.78,3783.22,438066309.0,
2022-12-29,3805.45,3858.19,3805.45,3849.28,466689122.0,
2022-12-30,3829.06,3839.85,3800.34,3839.5,511646744.0,
2023-01-03,3853.29,3878.46,3794.33,3824.14,661196995.0,
2023-01-04,3840.36,3873.16,3815.77,3852.97,721505963.0,
2023-01-05,3839.74,3839.74,3802.42,3808.1,632401697.0,
2023-01-06,3823.37,3906.19,3809.56,3895.08,662209787.0,
2023-01-09,3910.82,3950.57,3890.42,3892.09,668427994.0,
2023-01-10,3888.57,3919.83,3877.29,3919.25,551554241.0,
2023-01-11,3932.35,3970.07,3928.54,3969.61,640790420.0,
2023-01-12,3977.57,3997.76,3937.56,3983.17,632425453.0,
2023-01-13,3960.6,4003.95,3947.67,3999.09,573948029.0,
2023-01-17,3999.28,4015.39,3984.57,3990.97,678250927.0,
2023-01-18,4002.25,4014.16,3926.59,3928.86,673911697.0,
2023-01-19,3911.84,3922.94,3885.54,3898.85,661096852.0,
2023-01-20,3909.04,3972.96,3897.86,3972.61,831430861.0,
2023-01-23,3978.14,4039.31,3971.64,4019.81,615965463.0,
2023-01-24,4001.74,4023.92,3989.79,4016.95,485960315.0,
2023-01-25,3982.71,4019.55,3949.06,4016.22,612496177.0,
2023-01-26,4036.08,4061.57,4013.29,4060.43,609400783.0,
2023-01-27,4053.72,4094.21,4048.7,4070.56,627301536.0,
2023-01-30,4049.27,4063.85,4015.55,4017.77,591870717.0,
2023-01-31,4020.85,4077.16,4020.44,4076.6,949382016.0,
2023-02-01,4070.07,4148.95,4037.2,4119.21,791134659.0,
2023-02-02,4158.68,4195.44,4141.88,4179.76,845209740.0,
2023-02-03,4136.69,4182.36,4123.36,4136.48,735516487.0,
2023-02-06,4119.57,4124.63,4093.38,4111.08,590026670.0,
2023-02-07,4105.35,4176.54,4088.39,4164.0,675865264.0,
2023-02-08,4153.47,4156.85,4111.67,4117.86,651034169.0,
2023-02-09,4144.25,4156.23,4069.67,4081.5,689749135.0,
2023-02-10,4068.92,4094.36,4060.79,4090.46,615231190.0,
2023-02-13,4096.62,4138.9,4092.67,4137.29,601223890.0,
2023-02-14,4126.7,4159.77,4095.01,4136.13,596475366.0,
2023-02-15,4119.5,4148.11,4103.98,4147.6,560590364.0,
2023-02-16,4114.75,4136.54,4089.49,4090.41,604958840.0,
2023-02-17,4077.39,4081.51,4047.95,4079.09,672640488.0,
2023-02-21,4052.35,4052.35,3995.19,3997.34,681820082.0,
2023-02-22,4001.83,4017.37,3976.9,3991.05,618373661.0,
2023-02-23,4018.6,4028.3,3969.19,4012.32,619624415.0,
2023-02-24,3973.24,3978.25,3943.08,3970.04,603607841.0,
2023-02-27,3992.36,4018.05,3973.55,3982.24,553023498.0,
2023-02-28,3977.19,3997.5,3968.98,3970.15,976126672.0,
2023-03-01,3963.34,3971.73,3939.05,3951.39,605989833.0,
2023-03-02,3938.68,3990.84,3928.16,3981.35,610373912.0,
2023-03-03,3998.02,4048.29,3995.17,4045.64,618166137.0,
2023-03-06,4055.15,4078.49,4044.61,4048.42,612740212.0,
2023-03-07,4048.26,4050.0,3980.31,3986.37,621492593.0,
2023-03-08,3987.55,4000.41,3969.76,3992.01,539008248.0,
2023-03-09,3998.66,4017.81,3908.7,3918.32,687977276.0,
2023-03-10,3912.77,3934.05,3846.32,3861.59,837308562.0,
2023-03-13,3835.12,3905.05,3808.86,3855.76,1009987819.0,
2023-03-14,3894.01,3937.29,3873.63,3919.29,935067941.0,
2023-03-15,3876.74,3894.26,3838.24,3891.93,999772376.0,
2023-03-16,3878.93,3964.46,3864.11,3960.28,933059347.0,
2023-03-17,3958.69,3958.91,3901.27,3916.64,2635067540.0,
2023-03-20,3917.47,3956.62,3916.89,3951.57,809318155.0,
2023-03-21,3975.89,4009.08,3971.19,4002.87,815755012.0,
2023-03-22,4002.04,4039.49,3936.17,3936.97,692852985.0,
2023-03-23,3959.21,4007.66,3919.05,3948.72,761870844.0,
2023-03-24,3939.21,3972.74,3909.16,3970.99,686692170.0,
2023-03-27,3982.93,4003.83,3970.49,3977.53,640358337.0,
2023-03-28,3974.13,3979.2,3951.53,3971.27,510304653.0,
2023-03-29,3999.53,4030.59,3999.53,4027.81,626882401.0,
2023-03-30,4046.74,4057.85,4032.1,4050.83,535941328.0,
2023-03-31,4056.18,4110.75,4056.18,4109.31,805421222.0,
2023-04-03,4102.2,4127.66,4098.79,4124.51,656322603.0,
2023-04-04,4128.03,4133.13,4086.87,4100.6,623143201.0,
2023-04-05,4094.5,4099.69,4072.56,4090.38,648894831.0,
2023-04-06,4081.15,4107.32,4069.84,4105.02,567174261.0,
2023-04-10,4085.2,4109.5,4072.55,4109.11,530133222.0,
2023-04-11,4110.29,4124.26,4102.61,4108.94,538398239.0,
2023-04-12,4121.72,4134.37,4086.94,4091.95,590457622.0,
2023-04-13,4100.04,4150.26,4099.4,4146.22,623387846.0,
2023-04-14,4140.11,4163.19,4113.2,4137.64,565824739.0,
2023-04-17,4137.17,4151.72,4123.18,4151.32,570112694.0,
2023-04-18,4164.26,4169.48,4140.36,4154.87,557170578.0,
2023-04-19,4139.33,4162.57,4134.49,4154.52,544963738.0,
2023-04-20,4130.48,4148.57,4114.57,4129.79,650426296.0,
2023-04-21,4132.14,4138.02,4113.86,4133.52,673695731.0,
2023-04-24,4132.07,4142.41,4117.77,4137.04,546190361.0,
2023-04-25,4126.43,4126.43,4071.38,4071.63,652256285.0,
2023-04-26,4087.78,4089.67,4049.35,4055.99,687858779.0,
2023-04-27,4075.29,4138.24,4075.29,4135.35,702603285.0,
2023-04-28,4129.63,4170.06,4127.18,4169.48,787608270.0,
2023-05-01,4166.79,4186.92,4164.12,4167.87,601566286.0,
2023-05-02,4164.1,4164.1,4089.72,4119.58,684397559.0,
2023-05-03,4122.25,4148.3,4088.86,4090.75,680765237.0,
2023-05-04,4082.55,4082.61,4048.28,4061.22,727002283.0,
2023-05-05,4084.73,4147.02,4084.73,4136.25,661637743.0,
2023-05-08,4136.98,4142.3,4123.81,4138.12,541650020.0,
2023-05-09,4124.25,4130.35,4116.65,4119.17,580390286.0,
2023-05-10,4143.74,4154.28,4098.92,4137.64,630971185.0,
2023-05-11,4132.24,4132.8,4109.29,4130.62,590608874.0,
2023-05-12,4138.54,4143.74,4099.12,4124.08,552093777.0,
2023-05-15,4126.65,4141.25,4110.27,4136.28,542788546.0,
2023-05-16,4127.95,4135.54,4109.86,4109.9,561421418.0,
2023-05-17,4122.85,4164.67,4113.62,4158.77,665798957.0,
2023-05-18,4157.68,4202.2,4153.5,4198.05,653367048.0,
2023-05-19,4204.15,4212.91,4180.2,4191.98,685778027.0,
2023-05-22,4190.78,4209.22,4179.68,4192.63,558748206.0,
2023-05-23,4176.8,4185.68,4142.54,4145.58,625447278.0,
2023-05-24,4132.96,4132.96,4103.98,4115.24,582283061.0,
2023-05-25,4155.71,4165.74,4129.73,4151.28,742956859.0,
2023-05-26,4156.16,4212.87,4156.16,4205.45,696802591.0,
2023-05-30,4226.71,4231.1,4192.18,4205.52,682208422.0,
2023-05-31,4190.74,4195.44,4166.15,4179.83,1762055659.0,
2023-06-01,4183.03,4232.43,4171.64,4221.02,720758201.0,
2023-06-02,4241.01,4290.67,4241.01,4282.37,705674299.0,
2023-06-05,4282.99,4299.28,4266.82,4273.79,597332929.0,
2023-06-06,4271.34,4288.33,4263.09,4283.85,581027111.0,
2023-06-07,4285.47,4299.19,4263.96,4267.52,742367269.0,
2023-06-08,4268.69,4298.01,4261.07,4293.93,592889909.0,
2023-06-09,4304.88,4322.62,4291.7,4298.86,578353328.0,
2023-06-12,4308.32,4340.13,4304.37,4338.93,661476814.0,
2023-06-13,4352.61,4375.37,4349.31,4369.01,658428877.0,
2023-06-14,4366.29,4391.82,4337.85,4372.59,727422361.0,
2023-06-15,4365.33,4439.2,4362.6,4425.84,748295367.0,
2023-06-16,4440.95,4448.47,4407.44,4409.59,2045540605.0,
2023-06-20,4396.11,4400.15,4367.19,4388.71,725393256.0,
2023-06-21,4380.01,4386.22,4360.14,4365.69,701610605.0,
2023-06-22,4355.4,4382.25,4351.82,4381.89,560134153.0,
2023-06-23,4354.17,4366.55,4341.34,4348.33,1102248607.0,
2023-06-26,4344.84,4362.06,4328.08,4328.82,615647686.0,
2023-06-27,4337.36,4384.42,4335.0,4378.41,610540624.0,
2023-06-28,4367.48,4390.35,4360.22,4376.86,596763176.0,
2023-06-29,4374.94,4398.39,4371.97,4396.44,556987636.0,
2023-06-30,4422.44,4458.48,4422.44,4450.38,772964875.0,
2023-07-03,4450.48,4456.46,4442.29,4455.59,336170315.0,
2023-07-05,4442.04,4454.06,4436.61,4446.82,596207157.0,
2023-07-06,4422.62,4422.62,4385.05,4411.59,624424831.0,
2023-07-07,4404.54,4440.39,4397.4,4398.95,639449189.0,
2023-07-10,4394.23,4412.6,4389.92,4409.53,617756573.0,
2023-07-11,4415.55,4443.64,4408.46,4439.26,570808301.0,
2023-07-12,4467.69,4488.34,4463.23,4472.16,644785305.0,
2023-07-13,4491.5,4517.38,4489.36,4510.04,581152125.0,
2023-07-14,4514.61,4527.76,4499.56,4505.42,597991644.0,
2023-07-17,4508.86,4532.85,4504.9,4522.79,581421430.0,
2023-07-18,4521.78,4562.3,4514.59,4554.98,655711511.0,
2023-07-19,4563.87,4578.43,4557.48,4565.72,681026287.0,
2023-07-20,4554.38,4564.74,4527.56,4534.87,689496830.0,
2023-07-21,4550.16,4555.0,4535.79,4536.34,1153304016.0,
2023-07-24,4543.39,4563.41,4541.29,4554.64,550797536.0,
2023-07-25,4555.19,4580.62,4552.42,4567.46,597126166.0,
2023-07-26,4558.96,4582.47,4547.58,4566.75,614526566.0,
2023-07-27,4598.26,4607.07,4528.56,4537.41,713687682.0,
2023-07-28,4565.75,4590.16,4564.01,4582.23,647234729.0,
2023-07-31,4584.82,4594.22,4573.14,4588.96,823449657.0,
2023-08-01,4578.83,4584.62,4567.53,4576.73,584666104.0,
2023-08-02,4550.93,4550.93,4505.75,4513.39,694274378.0,
2023-08-03,4494.27,4519.49,4485.54,4501.89,625407459.0,
2023-08-04,4513.96,4540.34,4474.55,4478.03,634868167.0,
2023-08-07,4491.58,4519.84,4491.15,4518.44,539376272.0,
2023-08-08,4498.03,4503.31,4464.39,4499.38,567521642.0,
2023-08-09,4501.57,4502.44,4461.33,4467.71,564477601.0,
2023-08-10,4487.16,4527.37,4457.92,4468.83,523485454.0,
2023-08-11,4450.69,4476.23,4443.98,4464.05,482233474.0,
2023-08-14,4458.13,4490.33,4453.44,4489.72,540853380.0,
2023-08-15,4478.87,4478.87,4432.19,4437.86,531415338.0,
2023-08-16,4433.79,4449.95,4403.55,4404.33,525773974.0,
2023-08-17,4416.32,4421.17,4364.83,4370.36,586046326.0,
2023-08-18,4344.88,4381.82,4335.31,4369.71,652429144.0,
2023-08-21,4380.28,4407.55,4360.3,4399.77,540501196.0,
2023-08-22,4415.33,4418.59,4382.77,4387.55,496400726.0,
2023-08-23,4396.44,4443.18,4396.44,4436.01,571896457.0,
2023-08-24,4455.16,4458.3,4375.55,4376.31,628411113.0,
2023-08-25,4389.38,4418.46,4356.29,4405.71,561105998.0,
2023-08-28,4426.03,4439.56,4414.98,4433.31,449237158.0,
2023-08-29,4432.75,4500.14,4431.68,4497.63,543841996.0,
2023-08-30,4500.34,4521.65,4493.59,4514.87,480081582.0,
2023-08-31,4517.01,4532.26,4507.39,4507.66,801082058.0,
2023-09-01,4530.6,4541.25,4501.35,4515.77,558053430.0,
2023-09-05,4510.06,4514.29,4496.01,4496.83,590442499.0,
2023-09-06,4490.35,4490.35,4442.38,4465.48,569685011.0,
2023-09-07,4434.55,4457.81,4430.46,4451.14,691843950.0,
2023-09-08,4451.3,4473.53,4448.38,4457.49,543363986.0,
2023-09-11,4480.98,4490.77,4467.89,4487.46,564284803.0,
2023-09-12,4473.27,4487.11,4456.83,4461.9,572264222.0,
2023-09-13,4462.65,4479.39,4453.52,4467.44,638751478.0,
2023-09-14,4487.78,4511.99,4478.69,4505.1,666838704.0,
2023-09-15,4497.98,4497.98,4447.21,4450.32,2086889231.0,
2023-09-18,4445.13,4466.36,4442.11,4453.53,582598070.0,
2023-09-19,4445.41,4449.85,4416.61,4443.95,591605661.0,
2023-09-20,4452.81,4461.03,4401.38,4402.2,531420608.0,
2023-09-21,4374.36,4375.7,4329.17,4330.0,645438893.0,
2023-09-22,4341.74,4357.4,4316.49,4320.06,602353911.0,
2023-09-25,4310.62,4338.51,4302.7,4337.44,520438772.0,
2023-09-26,4312.88,4313.01,4265.98,4273.53,602316295.0,
2023-09-27,4282.63,4292.07,4238.63,4274.51,637394116.0,
2023-09-28,4269.65,4317.27,4264.38,4299.7,571201268.0,
2023-09-29,4328.18,4333.15,4274.86,4288.05,735724635.0,
2023-10-02,4284.52,4300.58,4260.21,4288.39,674495263.0,
2023-10-03,4269.75,4281.15,4216.45,4229.45,642211079.0,
2023-10-04,4233.83,4268.5,4220.48,4263.75,649738600.0,
2023-10-05,4259.31,4267.13,4225.91,4258.19,605584966.0,
2023-10-06,4234.79,4324.1,4219.55,4308.5,675263374.0,
2023-10-09,4289.02,4341.73,4283.79,4335.66,530663733.0,
2023-10-10,4339.75,4385.46,4339.64,4358.24,578886240.0,
2023-10-11,4366.59,4378.64,4345.34,4376.95,554261203.0,
2023-10-12,4380.94,4385.85,4325.43,4349.61,581217483.0,
2023-10-13,4360.49,4377.1,4311.97,4327.78,625106773.0,
2023-10-16,4342.37,4383.33,4342.37,4373.63,591931232.0,
2023-10-17,4345.23,4393.57,4337.54,4373.2,643476734.0,
2023-10-18,4357.35,4364.2,4303.84,4314.6,630081238.0,
2023-10-19,4321.36,4339.54,4269.69,4278.0,705716397.0,
2023-10-20,4273.85,4276.56,4223.03,4224.16,847181188.0,
2023-10-23,4210.4,4255.84,4189.22,4217.04,622435533.0,
2023-10-24,4235.79,4259.38,4219.43,4247.68,636529260.0,
2023-10-25,4232.42,4232.42,4181.42,4186.77,722041201.0,
2023-10-26,4175.99,4183.6,4127.9,4137.23,799202538.0,
2023-10-27,4152.93,4156.7,4103.78,4117.37,731596656.0,
2023-10-30,4139.39,4177.47,4132.94,4166.82,657366692.0,
2023-10-31,4171.33,4195.55,4153.12,4193.8,790575673.0,
2023-11-01,4201.27,4245.64,4197.74,4237.86,776970113.0,
2023-11-02,4268.26,4319.72,4268.26,4317.78,768438594.0,
2023-11-03,4334.23,4373.62,4334.23,4358.34,710334973.0,
2023-11-06,4364.27,4372.21,4347.53,4365.98,600478338.0,
2023-11-07,4366.21,4386.26,4355.41,4378.38,627378808.0,
2023-11-08,4384.37,4391.2,4359.76,4382.78,630146615.0,
2023-11-09,4391.41,4393.4,4343.94,4347.35,643214618.0,
2023-11-10,4364.15,4418.03,4353.34,4415.24,633584199.0,
2023-11-13,4406.66,4421.76,4393.82,4411.55,521106319.0,
2023-11-14,4458.97,4508.67,4458.97,4495.7,726733609.0,
2023-11-15,4505.3,4521.17,4495.31,4502.88,698146847.0,
2023-11-16,4497.08,4511.99,4487.83,4508.24,663470192.0,
2023-11-17,4509.55,4520.12,4499.66,4514.02,698733690.0,
2023-11-20,4511.7,4557.11,4510.36,4547.38,616318672.0,
2023-11-21,4538.77,4542.14,4525.51,4538.19,535650418.0,
2023-11-22,4553.04,4568.43,4545.05,4556.62,494987908.0,
2023-11-24,4555.84,4560.31,4552.8,4559.34,245075445.0,
2023-11-27,4554.86,4560.52,4546.32,4550.43,571787308.0,
2023-11-28,4545.55,4568.14,4540.51,4554.89,581626011.0,
2023-11-29,4571.84,4587.64,4547.15,4550.58,614760148.0,
2023-11-30,4554.87,4569.89,4537.24,4567.8,1436340554.0,
2023-12-01,4559.43,4599.39,4554.71,4594.63,685637998.0,
2023-12-04,4564.37,4572.37,4546.72,4569.78,709338112.0,
2023-12-05,4557.25,4578.56,4551.68,4567.18,636082851.0,
2023-12-06,4586.23,4590.74,4546.5,4549.34,642728555.0,
2023-12-07,4568.84,4590.92,4565.22,4585.59,654683633.0,
2023-12-08,4576.2,4609.23,4574.06,4604.37,650108320.0,
2023-12-11,4593.39,4623.71,4593.39,4622.44,710937555.0,
2023-12-12,4618.3,4643.93,4608.09,4643.7,641078562.0,
2023-12-13,4646.2,4709.69,4643.23,4707.09,822110084.0,
2023-12-14,4721.04,4738.57,4694.34,4719.55,1051807579.0,
2023-12-15,4714.23,4725.53,4704.69,4719.19,2527894869.0,
2023-12-18,4725.58,4749.52,4725.58,4740.56,704963485.0,
2023-12-19,4743.72,4768.69,4743.72,4768.37,683293471.0,
2023-12-20,4764.73,4778.01,4697.82,4698.35,740948509.0,
2023-12-21,4724.29,4748.71,4708.35,4746.75,598987758.0,
2023-12-22,4753.92,4772.94,4736.77,4754.63,478035162.0,
2023-12-26,4758.86,4784.72,4758.45,4774.75,383600823.0,
2023-12-27,4773.45,4785.39,4768.9,4781.58,477164240.0,
2023-12-28,4786.44,4793.3,4780.98,4783.35,412883803.0,
2023-12-29,4782.88,4788.43,4751.99,4769.83,551130242.0,
2024-01-02,4745.2,4754.33,4722.67,4742.83,707023582.0,
2024-01-03,4725.07,4729.29,4699.71,4704.81,696024599.0,
2024-01-04,4697.42,4726.78,4687.53,4688.68,693014905.0,
2024-01-05,4690.57,4721.49,4682.11,4697.24,650594292.0,
2024-01-08,4703.7,4764.54,4699.82,4763.54,699080100.0,
2024-01-09,4741.93,4765.47,4730.35,4756.5,627224821.0,
2024-01-10,4759.94,4790.8,4756.2,4783.45,594304429.0,
2024-01-11,4792.13,4798.5,4739.58,4780.24,639362905.0,
2024-01-12,4791.18,4802.4,4768.98,4783.83,588398855.0,
2024-01-16,4772.35,4782.34,4747.12,4765.98,709069725.0,
2024-01-17,4739.13,4744.23,4714.82,4739.21,600707347.0,
2024-01-18,4760.1,4785.79,4740.57,4780.94,690191784.0,
2024-01-19,4796.28,4842.07,4785.87,4839.81,840591395.0,
2024-01-22,4853.42,4868.41,4844.05,4850.43,701376031.0,
2024-01-23,4856.8,4866.48,4844.37,4864.6,596555898.0,
2024-01-24,4888.56,4903.68,4865.94,4868.55,682971998.0,
2024-01-25,4886.66,4898.15,4869.34,4894.16,749967986.0,
2024-01-26,4888.91,4906.69,4881.47,4890.97,623980996.0,
2024-01-29,4892.95,4929.31,4887.4,4927.93,629745728.0,
2024-01-30,4925.89,4931.09,4916.27,4924.97,648024028.0,
2024-01-31,4899.19,4906.75,4845.15,4845.65,1075732775.0,
2024-02-01,4861.11,4906.97,4853.52,4906.19,720837864.0,
2024-02-02,4916.06,4975.29,4907.99,4958.61,742829415.0,
2024-02-05,4957.19,4957.19,4918.09,4942.81,699814958.0,
2024-02-06,4950.16,4957.77,4934.88,4954.23,636054578.0,
2024-02-07,4973.05,4999.89,4969.05,4995.06,693459419.0,
2024-02-08,4995.16,5000.4,4987.09,4997.91,641191844.0,
2024-02-09,5004.17,5030.06,5000.34,5026.61,633865687.0,
2024-02-12,5026.83,5048.39,5016.83,5021.84,600435425.0,
2024-02-13,4967.94,4971.3,4920.31,4953.17,689444106.0,
2024-02-14,4976.44,5002.52,4956.45,5000.62,644907004.0,
2024-02-15,5003.14,5032.72,4999.44,5029.73,668366860.0,
2024-02-16,5031.13,5038.7,4999.52,5005.57,683361708.0,
2024-02-20,4989.32,4993.71,4955.02,4975.51,696451427.0,
2024-02-21,4963.03,4983.21,4946.0,4981.8,618518026.0,
2024-02-22,5038.83,5094.39,5038.83,5087.03,728724112.0,
2024-02-23,5100.92,5111.06,5081.46,5088.8,633418439.0,
2024-02-26,5093.0,5097.66,5068.91,5069.53,623644768.0,
2024-02-27,5074.6,5080.69,5057.29,5078.18,574728854.0,
2024-02-28,5067.2,5077.37,5058.35,5069.76,564440544.0,
2024-02-29,5085.36,5104.99,5061.89,5096.27,1285581876.0,
2024-03-01,5098.51,5140.33,5094.16,5137.08,687218784.0,
2024-03-04,5130.99,5149.67,5127.18,5130.95,751185450.0,
2024-03-05,5110.52,5114.54,5056.82,5078.65,743286484.0,
2024-03-06,5108.03,5127.97,5092.22,5104.76,700289090.0,
2024-03-07,5132.38,5165.62,5128.21,5157.36,659799460.0,
2024-03-08,5164.46,5189.26,5117.5,5123.69,678455576.0,
2024-03-11,5111.96,5124.66,5091.14,5117.94,603068481.0,
2024-03-12,5134.3,5179.87,5114.48,5175.27,638546850.0,
2024-03-13,5173.49,5179.14,5151.88,5165.31,762052392.0,
2024-03-14,5175.14,5176.85,5123.3,5150.48,830838311.0,
2024-03-15,5123.31,5136.86,5104.35,5117.09,2699996659.0,
2024-03-18,5154.77,5175.6,5145.47,5149.42,784047674.0,
2024-03-19,5139.09,5180.31,5131.59,5178.51,742925252.0,
2024-03-20,5181.69,5226.19,5171.55,5224.62,658696240.0,
2024-03-21,5253.43,5261.1,5240.66,5241.53,718142030.0,
2024-03-22,5242.48,5246.09,5229.87,5234.18,588747926.0,
2024-03-25,5219.52,5229.09,5216.09,5218.19,603327469.0,
2024-03-26,5228.85,5235.16,5203.42,5203.58,670805580.0,
2024-03-27,5226.31,5249.26,5213.92,5248.49,648229648.0,
2024-03-28,5248.03,5264.85,5245.82,5254.35,787104098.0,
2024-04-01,5257.97,5263.95,5229.2,5243.77,561031961.0,
2024-04-02,5204.29,5208.34,5184.05,5205.81,731371246.0,
2024-04-03,5194.37,5228.75,5194.37,5211.49,658241573.0,
2024-04-04,5244.05,5256.59,5146.06,5147.21,717795894.0,
2024-04-05,5158.95,5222.18,5157.21,5204.34,613619466.0,
2024-04-08,5211.37,5219.57,5197.35,5202.39,559026792.0,
2024-04-09,5217.03,5224.81,5160.78,5209.91,567518803.0,
2024-04-10,5167.88,5178.43,5138.7,5160.64,645445357.0,
2024-04-11,5172.95,5211.78,5138.77,5199.06,642480433.0,
2024-04-12,5171.51,5175.03,5107.94,5123.41,664864391.0,
2024-04-15,5149.67,5168.43,5052.47,5061.82,685496598.0,
2024-04-16,5064.59,5079.84,5039.83,5051.41,629798982.0,
2024-04-17,5068.97,5077.96,5007.25,5022.21,625572020.0,
2024-04-18,5031.52,5056.66,5001.89,5011.12,610415260.0,
2024-04-19,5005.44,5019.02,4953.56,4967.23,865016383.0,
2024-04-22,4987.33,5038.84,4969.4,5010.6,661810027.0,
2024-04-23,5028.85,5076.12,5027.96,5070.55,652109640.0,
2024-04-24,5084.86,5089.48,5047.02,5071.63,720425246.0,
2024-04-25,5019.88,5057.75,4990.58,5048.42,773674502.0,
2024-04-26,5084.65,5114.62,5073.14,5099.96,686360905.0,
2024-04-29,5114.13,5123.49,5088.65,5116.17,663462702.0,
2024-04-30,5103.78,5110.83,5035.31,5035.69,910318928.0,
2024-05-01,5029.03,5096.12,5013.45,5018.39,809021347.0,
2024-05-02,5049.32,5073.21,5011.05,5064.2,739935801.0,
2024-05-03,5122.78,5139.12,5101.22,5127.79,701689993.0,
2024-05-06,5142.42,5181.0,5142.42,5180.74,631250257.0,
2024-05-07,5187.2,5200.23,5178.96,5187.7,649506675.0,
2024-05-08,5168.98,5191.95,5165.86,5187.67,623149630.0,
2024-05-09,5189.03,5215.3,5180.41,5214.08,569494678.0,
2024-05-10,5225.49,5239.66,5209.68,5222.68,552478490.0,
2024-05-13,5233.08,5237.26,5211.16,5221.42,567632226.0,
2024-05-14,5221.1,5250.37,5217.98,5246.68,591140913.0,
2024-05-15,5263.26,5311.76,5263.26,5308.15,676790031.0,
2024-05-16,5310.07,5325.49,5296.19,5297.1,657478316.0,
2024-05-17,5303.1,5305.45,5283.59,5303.27,633106828.0,
2024-05-20,5305.35,5325.32,5302.4,5308.13,511836196.0,
2024-05-21,5298.69,5324.32,5297.87,5321.41,560156939.0,
2024-05-22,5319.28,5323.18,5286.01,5307.01,607871288.0,
2024-05-23,5340.26,5341.88,5256.93,5267.84,642324642.0,
2024-05-24,5281.45,5311.65,5278.39,5304.72,518297234.0,
2024-05-28,5315.91,5315.91,5280.89,5306.04,632325203.0,
2024-05-29,5278.73,5282.27,5262.7,5266.95,648849760.0,
